Shape *,admin4Name_en,admin4Pcode,admin4RefName,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Polygon,Kissy Mental,SL04020512,Kissy Mental,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.025292,0.000023
Polygon,Kissy Mess Mess,SL04020513,Kissy Mess Mess,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.035578,0.000055
Polygon,Mayenkineh,SL04020518,Mayenkineh,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.066926,0.000121
Polygon,Old Warf,SL04020519,Old Warf,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.051842,0.000107
Polygon,Njaifeh,SL01031003,Njaifeh,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.327047,0.005413
Polygon,Pamuronko,SL04020520,Pamuronko,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.063042,0.00013
Polygon,Portee,SL04020521,Portee,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.02442,0.000029
Polygon,Thunderhill,SL04020526,Thunderhill,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.054198,0.000153
Polygon,Robis,SL04020522,Robis,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.058294,0.000134
Polygon,Rokupa,SL04020523,Rokupa,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.024484,0.000029
Polygon,Shell,SL04020524,Shell,East III,SL040205,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.024854,0.00003
Polygon,Cockerill-Aberdeen,SL04020802,Cockerill-Aberdeen,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.053604,0.000064
Polygon,Ascension Town,SL04020601,Ascension Town,West I,SL040206,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.024119,0.000027
Polygon,Brookfields,SL04020602,Brookfields,West I,SL040206,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.036512,0.000047
Polygon,Kingtom,SL04020603,Kingtom,West I,SL040206,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.039911,0.000074
Polygon,Kroo Town,SL04020604,Kroo Town,West I,SL040206,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.028921,0.000034
Polygon,Brookfields-Congo,SL04020701,Brookfields-Congo,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.027568,0.000041
Polygon,Brookfields-Red Pu,SL04020702,Brookfields-Red Pu,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.044141,0.000052
Polygon,Congo Town,SL04020703,Congo Town,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.042023,0.000067
Polygon,George Brook (Dwor,SL04020704,George Brook (Dwor,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.06604,0.00019
Polygon,New England-Hannes,SL04020705,New England-Hannes,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.041406,0.000051
Polygon,New England-Hill C,SL04020706,New England-Hill C,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.041911,0.000091
Polygon,Cockle-Bay /Colleg,SL04020803,Cockle-Bay /Colleg,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.05562,0.00008
Polygon,Tengbeh Town,SL04020707,Tengbeh Town,West II,SL040207,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.038756,0.000056
Polygon,Aberdeen,SL04020801,Aberdeen,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.125828,0.00032
Polygon,Hill Station,SL04020804,Hill Station,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.066892,0.000162
Polygon,Juba/Kaningo,SL04020805,Juba/Kaningo,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.104057,0.000305
Polygon,Njagbakahun,SL01031002,Njagbakahun,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.343122,0.005887
Polygon,Lumley,SL04020806,Lumley,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.086717,0.000198
Polygon,Malama/Kamayama,SL04020807,Malama/Kamayama,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.061766,0.000174
Polygon,Murray Town,SL04020808,Murray Town,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.049205,0.000107
Polygon,Pipeline/Wilkinson,SL04020809,Pipeline/Wilkinson,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.083961,0.000142
Polygon,Wilberforce,SL04020810,Wilberforce,West III,SL040208,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,0.082507,0.000147
Polygon,Lower Sami,SL01010902,Lower Sami,Malema,SL010109,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,0.7599,0.017409
Polygon,Jagor,SL01011202,Jagor,Penguia,SL010112,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,0.208493,0.000996
Polygon,Ngiewoma-Njeigor,SL01021103,Ngiewoma-Njeigor,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,0.561358,0.012069
Polygon,Kufuru,SL02020113,Kufuru,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.281409,0.00409
Polygon,Gorahun,SL01021504,Gorahun,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,0.741592,0.024868
Polygon,Gbane Yemao,SL01030201,Gbane Yemao,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.333783,0.005962
